Brand,Tag1,Tag2,TAGSmass,SMRUmass,SRDLbody
J627,9173,9174,86,,
J336,9240,9241,85,,
J503,8203,,92,92,mq-20918-95
J806,9538,9539,84,84,mq-22483-95
J557,8874,8875,90,90,mq-22484-95
J575,8696,8697,88,,
J429,8927,8928,93,93,mq-22490-95
J415,9711,9712,84,,
J091,8607,,88,,
J483,9230,9231,88,88,mq-26628-95
J373,9788,,92,92,mq-2849-95
J226,9346,9347,78,,
J781,8870,8871,81,81,mq-22486-95
J693,8896,8897,76,,
J492,8602,8603,88,,
J766,8114,8115,91,91,mq-26625-95
J356,8453,8454,87,,
J803,8340,8341,88,88,mq-22500-95
J591,9017,9018,95,95,mq-26633-95
J375,8742,8743,89,89,mq-26635-95
J263,8991,8992,143,,
J332,9069,9070,148,,
J604,8957,8958,142,,
J615,8040,8041,140,,
J026,8282,8283,136,,
J239,8392,8393,144,143,mq-5814-95
J726,8618,8619,145,,
J402,8852,8853,141,,
J708,8598,8599,142,141,mq-26629-95
J100,9027,9028,147,,
J219,8310,8311,147,,
J032,8048,8049,145,145,mq-5811-95
J002,8110,8111,139,,
J387,8722,8723,140,,
J723,8728,8729,151,151,mq-20916-95
J622,9500,9501,140,139,mq-17215-95
J243,8292,8293,145,,
J012,8258,8259,136,136,mq-22501-95
J362,8935,8936,142,,
K813,,,140,,
K887,,,90,90,mq-20916-96
K094,,,144,,
K009,761,762,157,,
K875,2359,2360,85,85,mq-28479-96
K339,669,670,142,142,mq-22500-96
K397,795,796,169,169,mq-26623-96
K021,1711,1712,165,,
K346,1215,1216,155,,
K341,785,786,92,,
K354,966,967,152,165,mq-20917-96
K223,725,726,171,171,mq-28482-96
K186,1375,1376,93,,
K405,766,,92,,
K076,2131,2132,93,,
